ID,Name,Concepticon_ID,Concepticon_Gloss,dataset_ID,Ontological_Category,Semantic_Field
199_bow,bow,994,BOW,zgraggenmadang,Person/Thing,Warfare and hunting
872_early,early,672,EARLY,suntb,Property,Time
381_tountie,to untie,352,UNTIE,castrosui,Action/Process,Basic actions and technology
280_thelip,the lip,478,LIP,wold,Person/Thing,The body
53_twins,twins,1005,TWINS,mitterhoferbena,Person/Thing,Kinship
1045_dry,dry,1398,DRY,wold,Property,Sense perception
195_pig,PIG,1337,PIG,hantganbangime,Person/Thing,Animals
272_spear,spear,945,SPEAR,robinsonap,Person/Thing,Warfare and hunting
269_wind,wind,960,WIND,sohartmannchin,Person/Thing,The physical world
1382_takecarry,"take, carry",700,CARRY,tls,Action/Process,Motion
97_ashes,ash(es),646,ASH,tls,Person/Thing,The physical world
236_face,face,1560,FACE,suntb,Person/Thing,The body
412_late,late,477,LATE,marrisonnaga,Other,Time
264_hole,hole,1667,HOLE,logos,Person/Thing,Spatial relations
119_flyingfox,flying fox,235,FLYING FOX,zgraggenmadang,Person/Thing,Animals
835_how,how,1239,HOW,beidasinitic,Other,Cognition
97_shin,shin,186,SHIN,naganorgyalrongic,Person/Thing,The body
497_hundred,hundred,1634,HUNDRED,castrosui,Number,Quantity
948_twenty,twenty,1710,TWENTY,yanglalo,Number,Quantity
72_buffalo,buffalo,934,BUFFALO,bodtkhobwa,Person/Thing,Animals
541_seizevt,seize (vt),855,SEIZE,naganorgyalrongic,Action/Process,Possession
166_cotton,cotton,1850,COTTON,hubercolumbian,Person/Thing,Clothing and grooming
3-850,snake,730,SNAKE,ids,Person/Thing,Animals
393_ricehusked,"rice, husked",926,RICE,bodtkhobwa,Person/Thing,Agriculture and vegetation
broom,broom,245,BROOM,lexirumah,Person/Thing,Basic actions and technology
540_holdv,hold (v),1448,HOLD,naganorgyalrongic,Action/Process,Possession
280_yousg,you (sg),1215,THOU,sohartmannchin,Other,Kinship
662_untie,untie,352,UNTIE,suntb,Action/Process,Basic actions and technology
320_wash,,1453,WASH,allenbai,Action/Process,Basic actions and technology
3_moon,,1313,MOON,allenbai,Person/Thing,The physical world
305_far,far,1406,FAR,kraftchadic,Property,Spatial relations
23_pond,pond,2035,POND,yanglalo,Person/Thing,The physical world
358,spear,945,SPEAR,bantubvd,Person/Thing,Warfare and hunting
six,six,1703,SIX,transnewguineaorg,Number,Quantity
828_hard,hard,1884,HARD,yanglalo,Property,Sense perception
491_how,,1239,HOW,allenbai,Other,Cognition
147_nest,nest,3549,BIRD NEST,yanglalo,Person/Thing,Animals
531_liftcarry,"lift, carry",700,CARRY,beidasinitic,Action/Process,Motion
131_basket,basket,1539,BASKET,tls,Person/Thing,Basic actions and technology
279_come,come,1446,COME,tryonsolomon,Action/Process,Motion
888_breastofwoman,breast (of woman),1402,BREAST,logos,Person/Thing,The body
181_three,three,492,THREE,hubercolumbian,Number,Quantity
157_beloosefaintweak,"be loose, faint, weak",1601,WEAK,tls,Property,The body
530_underbelow,"under, below",1485,BELOW OR UNDER,bodtkhobwa,Other,Spatial relations
876_flyv,fly (v),1441,FLY (MOVE THROUGH AIR),naganorgyalrongic,Action/Process,Motion
rib,rib,801,RIB,lexirumah,Person/Thing,The body
364_swallow,swallow,897,SWALLOW,zgraggenmadang,Action/Process,Food and drink
192_drycloth,dry (cloth),1398,DRY,mitterhoferbena,Property,Sense perception
477_thecotton,the cotton,1850,COTTON,wold,Person/Thing,Clothing and grooming
240_wall,wall,933,WALL (OF HOUSE),naganorgyalrongic,Person/Thing,The house
22_mountain,,639,MOUNTAIN,allenbai,Person/Thing,The physical world
814_green,green,1425,GREEN,yanglalo,Property,Sense perception
224_belly,belly,1251,BELLY,tls,Person/Thing,The body
694_sway,sway,573,SWAY,northeuralex,Action/Process,Motion
18-670,poet,1045,POET,ids,Person/Thing,Speech and language
9-620,anvil,1648,ANVIL,ids,Person/Thing,Basic actions and technology
chin,chin,1510,CHIN,transnewguineaorg,Person/Thing,The body
chieftain,chieftain,301,CHIEFTAIN,lexirumah,Person/Thing,Social and political relations
170_hide,hide,602,HIDE (CONCEAL),satterthwaitetb,Action/Process,Spatial relations
hip,hip,1745,HIP,transnewguineaorg,Person/Thing,The body
14_long,long,1203,LONG,halenepal,Property,Spatial relations
913_three,three,492,THREE,wold,Number,Quantity
689,fly,1441,FLY (MOVE THROUGH AIR),chenhmongmien,Action/Process,Motion
111_house,house,1252,HOUSE,abrahammonpa,Person/Thing,The house
11_father,father,1217,FATHER,zgraggenmadang,Person/Thing,Kinship
78_come,come,1446,COME,bowernpny,Action/Process,Motion
88_fart,fart,1159,FART,naganorgyalrongic,Action/Process,The body
998_thespring2,the spring(2),1537,SPRINGTIME,wold,Person/Thing,Time
807_knot,knot,760,KNOT,tls,Person/Thing,Basic actions and technology
95_medicine,medicine,1372,MEDICINE,kraftchadic,Person/Thing,The body
151_horn,horn,1393,HORN (ANATOMY),robinsonap,Person/Thing,The body
46_tooth,tooth,1380,TOOTH,zgraggenmadang,Person/Thing,The body
554,white,1335,WHITE,chenhmongmien,Property,Sense perception
460_onehundred,,1634,HUNDRED,allenbai,Number,Quantity
156_tree,tree,906,TREE,yanglalo,Person/Thing,Agriculture and vegetation
623_now,now,1376,NOW,bodtkhobwa,Other,Time
182_two,,1498,TWO,diacl,Number,Quantity
205_garden,garden,586,GARDEN,bodtkhobwa,Person/Thing,Agriculture and vegetation
529_green,green,1425,GREEN,northeuralex,Property,Sense perception
323_seetr,see (tr),1409,SEE,zgraggenmadang,Action/Process,Sense perception
387_small,,1246,SMALL,allenbai,Property,Spatial relations
871_now,now,1376,NOW,beidasinitic,Other,Time
212_pepperhotchili,"pepper, hot / chili",1385,PEPPER,suntb,Person/Thing,Food and drink
813_alleverybody,"all, everybody",98,ALL,beidasinitic,Other,Quantity
754_birth,birth,1195,GIVE BIRTH,yanglalo,Action/Process,Kinship
15-740,hard,1884,HARD,ids,Property,Sense perception
94_bow,bow,994,BOW,hubercolumbian,Person/Thing,Warfare and hunting
4-430,navel,1838,NAVEL,ids,Person/Thing,The body
182_sand,sand,671,SAND,abrahammonpa,Person/Thing,The physical world
241_smooth,SMOOTH,1234,SMOOTH,hantganbangime,Property,Sense perception
7-460,candle,1273,CANDLE,ids,Person/Thing,The house
38_face,face,1560,FACE,kraftchadic,Person/Thing,The body
57_day,day,1225,DAY (NOT NIGHT),abrahammonpa,Person/Thing,Time
944_kill,kill,1417,KILL,northeuralex,Action/Process,The body
295_spoon,spoon,1378,SPOON,naganorgyalrongic,Person/Thing,Food and drink
744,cough,879,COUGH,chenhmongmien,Action/Process,The body
92_fish,FISH,227,FISH,hantganbangime,Person/Thing,Animals
2-370,parents,505,PARENTS,ids,Person/Thing,Kinship
forest,forest,420,FOREST,lexirumah,Person/Thing,The physical world
359_boardplank,board / plank,1227,BOARD,suntb,Person/Thing,The house
315_if,if,1459,IF,hubercolumbian,Other,Cognition
80_cane,cane,146,SUGAR CANE,bodtkhobwa,Person/Thing,Agriculture and vegetation
wall,wall,933,WALL (OF HOUSE),transnewguineaorg,Person/Thing,The house
69_bow,,994,BOW,diacl,Person/Thing,Warfare and hunting
637_plaitbraid,plait; braid,1729,PLAIT OR BRAID OR WEAVE,yanglalo,Action/Process,Basic actions and technology
444_thevegetables,the vegetables,924,VEGETABLES,wold,Person/Thing,Food and drink
185_blood,blood,946,BLOOD,castrosui,Person/Thing,The body
443_todisappear,to disappear,485,DISAPPEAR,castrosui,Action/Process,Motion
19-620,"strife, quarrel",1848,QUARREL,ids,Person/Thing,Social and political relations
490_four,four,1500,FOUR,castrosui,Number,Quantity
2-270,child,1304,CHILD (YOUNG HUMAN),ids,Person/Thing,Kinship
551_grab,grab,855,SEIZE,yanglalo,Action/Process,Possession
179_near,near,1942,NEAR,mitterhoferbena,Property,Spatial relations
188_endn,,743,END (OF TIME),diacl,Person/Thing,Time
220_warm,warm,1232,WARM,tryonsolomon,Property,Sense perception
321_towalk,to walk,1443,WALK,castrosui,Action/Process,Motion
finger,finger,1303,FINGER,transnewguineaorg,Person/Thing,The body
61_dog,dog,2009,DOG,abrahammonpa,Person/Thing,Animals
565,early,672,EARLY,chenhmongmien,Property,Time
mucus,mucus,208,NASAL MUCUS (SNOT),lexirumah,Person/Thing,The body
907_correct,correct,1725,CORRECT (RIGHT),yanglalo,Property,Emotions and values
1103_every,every,98,ALL,halenepal,Other,Quantity
19_fish,fish,227,FISH,halenepal,Person/Thing,Animals
541_stinky,stinky,42,STINKING,castrosui,Property,Sense perception
507_callv,call (v),1084,CALL,naganorgyalrongic,Action/Process,Speech and language
we-pl-incl,"we incl. plural (pronoun d:1p, incl, plural)",1131,WE (INCLUSIVE),transnewguineaorg,Other,Kinship
702_thick,thick,1244,THICK,beidasinitic,Property,Spatial relations
147_intestinegut,,1991,INTESTINES,allenbai,Person/Thing,The body
133_charcoal,charcoal,1188,CHARCOAL,marrisonnaga,Person/Thing,The physical world
275,palm of hand,1183,PALM OF HAND,bantubvd,Person/Thing,The body
94_thedaughter,the daughter,1357,DAUGHTER,wold,Person/Thing,Kinship
12-450,east,1877,EAST,ids,Person/Thing,Spatial relations
391_cover,cover,761,COVER,tls,Action/Process,Spatial relations
212_broom,,245,BROOM,allenbai,Person/Thing,Basic actions and technology
643_slip,slip,1324,SLIP,bodtkhobwa,Action/Process,Motion
207_lietotell,"lie, to tell",601,LIE (MISLEAD),satterthwaitetb,Action/Process,Emotions and values
305_tendon,tendon,1137,TENDON,yanglalo,Person/Thing,The body
654_two,two,1498,TWO,northeuralex,Number,Quantity
438_kitchenknife,kitchen knife,2772,KITCHEN KNIFE,yanglalo,Person/Thing,Food and drink
32_mud,mud,640,MUD,suntb,Person/Thing,The physical world
387,tail,1220,TAIL,bantubvd,Person/Thing,The body
sap,sap,345,SAP,transnewguineaorg,Person/Thing,Agriculture and vegetation
pond,pond,2035,POND,transnewguineaorg,Person/Thing,The physical world
1057_tosmile,to smile,1451,SMILE,wold,Action/Process,Emotions and values
771_thigh,thigh,800,THIGH,marrisonnaga,Person/Thing,The body
15-840,dry,1398,DRY,ids,Property,Sense perception
247_thickindimension,thick (in dimension),1244,THICK,logos,Property,Spatial relations
954_smooth,smooth,1234,SMOOTH,naganorgyalrongic,Property,Sense perception
468_what,what,1236,WHAT,castrosui,Other,Cognition
639_givebirth,give birth,1195,GIVE BIRTH,beidasinitic,Action/Process,Kinship
283,pipe,1124,PIPE,bantubvd,Person/Thing,Agriculture and vegetation
1087_rain,rain,2108,RAINING OR RAIN,tls,Person/Thing,The physical world
1069_togroan,to groan,716,GROAN,wold,Action/Process,Emotions and values
82_carry,carry,465,CARRY ON BACK,bodtkhobwa,Action/Process,Motion
to_help,help,1897,HELP,lexirumah,Action/Process,Social and political relations
11-780,wages,1122,WAGES,ids,Person/Thing,Possession
267_eat,eat,1336,EAT,hubercolumbian,Action/Process,Food and drink
1654_thick,thick,1244,THICK,halenepal,Property,Spatial relations
226_bed,,1663,BED,allenbai,Person/Thing,The house
22-120,God,1944,GOD,ids,Person/Thing,Religion and belief
1234_rubwipe,"rub, wipe",1449,RUB,logos,Action/Process,Basic actions and technology
203_dog,dog,2009,DOG,marrisonnaga,Person/Thing,Animals
327_under,under,1485,BELOW OR UNDER,kraftchadic,Other,Spatial relations
62_dog,DOG,2009,DOG,hantganbangime,Person/Thing,Animals
61_bird,,937,BIRD,allenbai,Person/Thing,Animals
303_ball,ball,1845,BALL,mitterhoferbena,Person/Thing,Spatial relations
120,blood,946,BLOOD,chenhmongmien,Person/Thing,The body
282,pig,1337,PIG,bantubvd,Person/Thing,Animals
428_shoot,shoot,1172,SHOOT,bodtkhobwa,Action/Process,Warfare and hunting
238_mouth,mouth,674,MOUTH,satterthwaitetb,Person/Thing,The body
374_twenty,twenty,1710,TWENTY,robinsonap,Number,Quantity
817_toborrow,to borrow,1823,BORROW,wold,Action/Process,Possession
154_rain,rain,2108,RAINING OR RAIN,tryonsolomon,Person/Thing,The physical world
312_tooth,tooth,1380,TOOTH,bowernpny,Person/Thing,The body
2-910,I,1209,I,ids,Other,Kinship
398_garden,garden,586,GARDEN,yanglalo,Person/Thing,Agriculture and vegetation
275_green,green,1425,GREEN,kraftchadic,Property,Sense perception
201_meat,,634,MEAT,allenbai,Person/Thing,Food and drink
370_hear,hear,1408,HEAR,logos,Action/Process,Sense perception
1449_toe,toe,1389,TOE,tls,Person/Thing,The body
480_moon,moon,1313,MOON,marrisonnaga,Person/Thing,The physical world
33_blunt,blunt,379,BLUNT,robinsonap,Property,Sense perception
