Colex_Key,dataset_ID,Form,Colex_IDs,Num_concepts,Concept_names,Semantic_field,Ontological_category
stan1295_fallen,ids,fallen,"{'2866', '1280'}",2,"['DROP (SOMETHING)', 'FALL']","['Basic actions and technology', 'Motion']","['Action/Process', 'Action/Process']"
stan1295_fangen,ids,fangen,"{'702', '1170'}",2,"['CATCH', 'TRAP (CATCH)']","['Motion', 'Warfare and hunting']","['Action/Process', 'Action/Process']"
stan1295_faul,ids,faul,"{'1728', '1564'}",2,"['ROTTEN', 'LAZY']","['Food and drink', 'The body']","['Property', 'Property']"
stan1295_flach,ids,flach,"{'193', '1633'}",2,"['SHALLOW', 'FLAT']","['Spatial relations', 'Spatial relations']","['Property', 'Property']"
stan1295_flechten,ids,flechten,"{'3199', '133'}",2,"['TWIST (AROUND)', 'WEAVE']","['Clothing and grooming', 'Motion']","['Action/Process', 'Action/Process']"
stan1295_fɛt,northeuralex,fɛt,"{'323', '1279'}",2,"['FAT (ORGANIC SUBSTANCE)', 'FAT (OBESE)']","['Spatial relations', 'The body']","['Person/Thing', 'Property']"
stan1295_gehen,ids,gehen,"{'1443', '695'}",2,"['WALK', 'GO']","['Motion', 'Motion']","['Action/Process', 'Action/Process']"
stan1295_gießen,ids,gießen,"{'1487', '211'}",2,"['POUR', 'CAST']","['Basic actions and technology', 'Basic actions and technology']","['Action/Process', 'Action/Process']"
stan1295_glauben,ids,glauben,"{'1890', '1513'}",2,"['BELIEVE', 'THINK (BELIEVE)']","['Cognition', 'Cognition']","['Action/Process', 'Action/Process']"
stan1295_groß,ids,groß,"{'1202', '711'}",2,"['BIG', 'TALL']","['Spatial relations', 'Spatial relations']","['Property', 'Property']"
stan1295_grün,ids,grün,"{'1958', '1425'}",2,"['UNRIPE', 'GREEN']","['Food and drink', 'Sense perception']","['Property', 'Property']"
stan1295_heißen,ids,heißen,"{'180', '1998'}",2,"['CALL BY NAME', 'COMMAND']","['Social and political relations', 'Speech and language']","['Action/Process', 'Action/Process']"
stan1295_hell,ids,hell,"{'250', '679'}",2,"['LIGHT (COLOR)', 'BRIGHT']","['Sense perception', 'Sense perception']","['Property', 'Property']"
stan1295_kalt,ids,kalt,"{'1287', '2483'}",2,"['COLD', 'COLD (OF WEATHER)']","['Sense perception', 'Sense perception']","['Property', 'Property']"
stan1295_kiːfɐ,northeuralex,kiːfɐ,"{'1740', '798'}",2,"['PINE', 'JAW']","['Agriculture and vegetation', 'The body']","['Person/Thing', 'Person/Thing']"
stan1295_kochen,ids,kochen,"{'1100', '792'}",2,"['COOK (SOMETHING)', 'BOIL (OF LIQUID)']","['Food and drink', 'Food and drink']","['Action/Process', 'Action/Process']"
stan1295_leicht,ids,leicht,"{'686', '1052'}",2,"['EASY', 'LIGHT (WEIGHT)']","['Cognition', 'Sense perception']","['Property', 'Property']"
stan1295_leihen,ids,leihen,"{'1823', '582'}",2,"['BORROW', 'LEND']","['Possession', 'Possession']","['Action/Process', 'Action/Process']"
stan1295_leːbən,northeuralex,leːbən,"{'210', '1422'}",2,"['LIFE', 'BE ALIVE']","['The body', 'The body']","['Action/Process', 'Person/Thing']"
stan1295_liegen,ids,liegen,"{'215', '1411'}",2,"['LIE DOWN', 'LIE (REST)']","['Spatial relations', 'Spatial relations']","['Action/Process', 'Action/Process']"
stan1295_männlich,ids,männlich,"{'2263', '2261'}",2,"['MALE (OF ANIMAL)', 'MALE (OF PERSON)']","['Animals', 'Kinship']","['Property', 'Property']"
stan1295_mɔɐ̯ɡən,northeuralex,mɔɐ̯ɡən,"{'1339', '1329'}",2,"['MORNING', 'TOMORROW']","['Time', 'Time']","['Other', 'Person/Thing']"
